Order,Exam #,Question #,Difficulty Level,Domain,Question Text,Selection Criteria,Selections,Correct Answers & Selections,# of Choices,# of Correct,Occurrence,Success,Fail,Exam Number,Unnamed: 15,Unnamed: 16
1,Exam 1,Question 1,Easy,Platform Overview and Navigation,Where can users set their notification preferences in the Next Experience UI?,,Email Properties + Subscription Management + Admin Menu + System Notifications + User Menu,User Menu,5,1,14,0,0,0,,2.0
2,Exam 1,Question 2,Hard,Instance Configuration,"Each ServiceNow solution provides its own guided setup. When implementing IT Service Management (ITSM), where would you navigate to update Now Platform user interface branding, including the company logo and colours?",Select 2 Answers from the below options.,System Properties > My Company + Team Development > Properties + System Properties > Basic Configuration UI16 + Guided Setup > ITSM Guided Setup,System Properties > Basic Configuration UI16 + Guided Setup > ITSM Guided Setup,4,2,17,0,0,0,,
3,Exam 1,Question 3,Easy,Configuring Applications for Collaboration,Which field type is Boolean and displays as a checkbox?,,True/False + 0/1 + Yes/No + On/Off + Positive/Negative + Checked/Unchecked,True/False,6,1,13,0,0,0,,
4,Exam 1,Question 4,Hard,Self-Service & Automation,When can you view personalised recommendations to improve the search engine optimisation (SEO) and accessibility of your Knowledge articles?,,When rating or commenting on an article + When flagging an article + When viewing an article on the Service Portal + When editing or publishing an article + When attaching an article to an Incident,When editing or publishing an article,5,1,11,0,0,0,,
5,Exam 1,Question 5,Easy,Self-Service & Automation,What are the different ways an end-user can leave feedback about an article?,Select 3 Answers from the below options.,Fill out an article quality index checklist. + Fill out the knowledge quality survey. + Leave a comment on the article. + Give a 1-5 star rating. + Mark the article as helpful or not helpful.,Leave a comment on the article. + Give a 1-5 star rating. + Mark the article as helpful or not helpful.,5,3,11,0,0,0,,
6,Exam 1,Question 6,Medium,Database Management,"There is a business requirement to restrict incident reporting to specific roles for better governance. The Development team decided to add a new access control (ACL), so only those roles can view the contents of the reports on the incident table. What access control operation should they use to allow this access on the incident table?",,add_to_list + report_on + report_view + read,report_view,4,1,14,0,0,0,,
7,Exam 1,Question 7,Easy,Self-Service & Automation,"Which application provides a centralised location for creating, categorising, viewing, and governing information related to the flow of work through ServiceNow?",,Configuration Management + Knowledge Management + Performance Analytics + Data Separation,Knowledge Management,4,1,13,0,0,0,,
8,Exam 1,Question 8,Hard,Data Migration and Integration,What are the steps for applying an update set to an instance?,Select 3 Answers from the below options.,Retrieve + Commit + Preview + Copy + Delete,Retrieve + Commit + Preview,5,3,13,0,0,0,,
9,Exam 1,Question 9,Medium,Instance Configuration,What is created by default when you create a new table?,Select 2 Answers from the below options.,"A table-specific admin role + Module with the plural of the table Label + ""Dashboard to manage the tables activity"" + Application Menu with the same name as the table Label",Module with the plural of the table Label + Application Menu with the same name as the table Label,4,2,19,0,0,0,,
10,Exam 1,Question 10,Easy,Self-Service & Automation,Where does the System Administrator navigate to edit a catalogue item?,,Create Incident + Service Catalogs + Service Portal + Maintain Items,Maintain Items,4,1,8,0,0,0,,
